Deck_Count,Penetration,Total_Hands,TC_-10,TC_-09,TC_-08,TC_-07,TC_-06,TC_-05,TC_-04,TC_-03,TC_-02,TC_-01,TC_+00,TC_+01,TC_+02,TC_+03,TC_+04,TC_+05,TC_+06,TC_+07,TC_+08,TC_+09,TC_+10
8,5.5,10000,0.01,0.02,0.08,0.22999999999999998,0.47000000000000003,1.02,2.03,3.4000000000000004,7.109999999999999,18.81,30.709999999999997,18.91,9.33,4.01,2.04,0.8999999999999999,0.54,0.31,0.05,0.01,0.01
8,5.75,10000,0.0,0.02,0.19,0.44,0.6,1.25,2.15,4.14,8.959999999999999,18.240000000000002,29.12,17.54,9.21,4.9799999999999995,1.78,0.8099999999999999,0.42,0.13999999999999999,0.01,0.0,0.0
8,6.0,10000,0.05,0.08,0.13,0.38,0.8999999999999999,1.54,2.93,4.8,9.1,16.74,27.85,17.25,9.4,4.24,2.2800000000000002,1.06,0.44,0.31,0.25,0.18,0.09
8,6.25,10000,0.1,0.16,0.19,0.5499999999999999,1.1400000000000001,1.46,3.39,5.28,9.41,17.990000000000002,29.74,15.75,7.68,3.36,1.92,0.95,0.51,0.22,0.05,0.1,0.05
8,6.5,10000,0.32,0.13999999999999999,0.44999999999999996,0.7000000000000001,1.4500000000000002,1.7500000000000002,2.92,5.37,9.31,16.13,25.72,17.2,8.83,4.18,2.36,1.32,0.86,0.49,0.27,0.13999999999999999,0.09
8,6.75,10000,0.47000000000000003,0.25,0.51,0.65,0.72,1.4000000000000001,2.78,4.45,9.43,18.310000000000002,27.589999999999996,15.83,7.66,4.32,2.39,1.3599999999999999,0.8200000000000001,0.47000000000000003,0.38,0.13,0.08
8,7.0,10000,0.38,0.22,0.38,0.45999999999999996,0.83,1.66,2.15,3.46,7.71,15.6,25.53,16.37,9.0,5.52,4.05,2.74,1.51,0.75,0.51,0.51,0.66
8,7.25,10000,0.32,0.26,0.41000000000000003,1.04,1.25,1.73,2.44,3.92,8.66,17.27,25.35,16.39,8.53,5.319999999999999,3.06,1.53,0.91,0.48,0.32,0.26,0.5499999999999999
8,7.5,10000,0.96,0.29,0.44,0.73,0.9299999999999999,1.41,2.68,5.8999999999999995,9.01,16.86,26.06,15.740000000000002,8.57,4.15,1.9800000000000002,1.4000000000000001,0.8699999999999999,0.5700000000000001,0.47000000000000003,0.33999999999999997,0.64
8,7.75,10000,0.83,0.3,0.62,0.73,1.5699999999999998,1.58,3.01,4.36,8.63,14.38,24.11,14.19,9.44,5.63,3.5999999999999996,2.1,1.59,0.79,0.7799999999999999,0.33,1.43
