# Blackjack High-Low Simulation Results
# Deck Count: 1
# Penetration: No penetration (all cards played)
"# Total Shoes: 1,000,000"
"# Total Hands: 11,239,896"
# Generated: 2025-05-24 22:11:06

True Count,Percentage
-10,3.052973
-9,0.401089
-8,2.734785
-7,0.813682
-6,4.872091
-5,1.757570
-4,7.731210
-3,3.195225
-2,11.766185
-1,4.736574
0,17.716819
1,4.736307
2,11.797040
3,3.206426
4,7.768524
5,1.765550
6,4.904298
7,0.816680
8,2.749145
9,0.404924
10,3.072902
