# Blackjack High-Low Simulation Results
# Deck Count: 1
# Penetration: 0.5 deck penetration
"# Total Shoes: 1,000,000"
"# Total Hands: 5,461,206"
# Generated: 2025-05-24 22:11:59

True Count,Percentage
-10,4.819448
-9,0.000000
-8,4.571957
-7,0.000000
-6,7.490836
-5,0.000000
-4,11.184324
-3,0.000000
-2,14.130505
-1,0.000000
0,15.673553
1,0.000000
2,14.142554
3,0.000000
4,11.174968
5,0.000000
6,7.453354
7,0.000000
8,4.542861
9,0.000000
10,4.815640
