# Blackjack High-Low Simulation Results with Custom Bet Spread
# Deck Count: 2
# Penetration: nopenetration
"# Total Shoes: 100,000"
"# Total Hands: 783,098"
"# Bet Spread: TC<=0=$0, TC1=$5, TC2=$10, TC3=$15, TC4=$25, TC5+=$25"
# Generated: 2025-05-27 02:09:10

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,0,0.000000,0.000000,0.00,0.00
-9,0,0.000000,0.000000,0.00,0.00
-8,0,0.000000,0.000000,0.00,0.00
-7,0,0.000000,0.000000,0.00,0.00
-6,0,0.000000,0.000000,0.00,0.00
-5,0,0.000000,0.000000,0.00,0.00
-4,0,0.000000,0.000000,0.00,0.00
-3,0,0.000000,0.000000,0.00,0.00
-2,0,0.000000,0.000000,0.00,0.00
-1,0,0.000000,0.000000,0.00,0.00
0,0,0.000000,0.000000,0.00,0.00
1,220213,28.120746,-0.015049,-18615.00,1236995.00
2,140938,17.997492,-0.005454,-8585.00,1574000.00
3,99358,12.687812,-0.006251,-10387.50,1661655.00
4,72756,9.290791,-0.003863,-7787.50,2016000.00
5,57135,7.296022,-0.000397,-625.00,1576100.00
6,41922,5.353353,0.006884,7950.00,1154800.00
7,29165,3.724310,0.005159,4125.00,799550.00
8,22306,2.848430,0.015921,9675.00,607675.00
9,21808,2.784837,0.024486,14537.50,593700.00
10,16836,2.149922,0.019775,9000.00,455125.00
