"# 4-Deck Blackjack Simulation Results (10,000 Shoes)"
# Average Edge (Played Hands Only): 0.6468%
"# Total Hands Played: 156,632"
"# Bet Spread: TC≤0=$0, TC+1=$5, TC+2=$10, TC+3=$15, TC+4=$25, TC+5+=$25"
# Generated: 2025-05-26 14:39:58

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,0,0.000000,0.000000,0.00,0.00
-9,0,0.000000,0.000000,0.00,0.00
-8,0,0.000000,0.000000,0.00,0.00
-7,0,0.000000,0.000000,0.00,0.00
-6,0,0.000000,0.000000,0.00,0.00
-5,0,0.000000,0.000000,0.00,0.00
-4,0,0.000000,0.000000,0.00,0.00
-3,0,0.000000,0.000000,0.00,0.00
-2,0,0.000000,0.000000,0.00,0.00
-1,0,0.000000,0.000000,0.00,0.00
0,0,0.000000,0.000000,0.00,0.00
1,53509,34.162240,-0.017851,-5365.00,300535.00
2,30175,19.264901,-0.004090,-1375.00,336210.00
3,20150,12.864549,-0.003034,-1020.00,336150.00
4,14077,8.987308,0.005980,2325.00,388775.00
5,9823,6.271388,0.010260,2775.00,270475.00
6,7148,4.563563,0.011868,2337.50,196950.00
7,4701,3.001302,0.030585,3950.00,129150.00
8,3587,2.290081,0.014216,1387.50,97600.00
9,3047,1.945324,0.003950,325.00,82275.00
10,2222,1.418612,0.004748,287.50,60550.00
