# Blackjack High-Low Simulation Results with Player Edge Analysis
# Deck Count: 6
# Penetration: 3.25 deck penetration
# Total Shoes: 10
# Total Hands: 317
# Fixed Bet Amount: $10 per hand
# Generated: 2025-05-25 18:22:36

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,0,0.000000,0.000000,0.00,0.00
-9,0,0.000000,0.000000,0.00,0.00
-8,0,0.000000,0.000000,0.00,0.00
-7,0,0.000000,0.000000,0.00,0.00
-6,0,0.000000,0.000000,0.00,0.00
-5,0,0.000000,0.000000,0.00,0.00
-4,0,0.000000,0.000000,0.00,0.00
-3,6,1.892744,0.333333,20.00,60.00
-2,16,5.047319,-0.078947,-15.00,190.00
-1,57,17.981073,0.266129,165.00,620.00
0,100,31.545741,0.070796,80.00,1130.00
1,71,22.397476,0.046053,35.00,760.00
2,45,14.195584,0.000000,0.00,480.00
3,21,6.624606,-0.020833,-5.00,240.00
4,1,0.315457,-1.000000,-10.00,10.00
5,0,0.000000,0.000000,0.00,0.00
6,0,0.000000,0.000000,0.00,0.00
7,0,0.000000,0.000000,0.00,0.00
8,0,0.000000,0.000000,0.00,0.00
9,0,0.000000,0.000000,0.00,0.00
10,0,0.000000,0.000000,0.00,0.00
