# Blackjack High-Low Simulation Results with Player Edge Analysis
# Deck Count: 3
# Penetration: 2.25 deck penetration
# Total Shoes: 10
# Total Hands: 213
# Fixed Bet Amount: $10 per hand
# Generated: 2025-05-25 18:22:36

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,0,0.000000,0.000000,0.00,0.00
-9,0,0.000000,0.000000,0.00,0.00
-8,0,0.000000,0.000000,0.00,0.00
-7,0,0.000000,0.000000,0.00,0.00
-6,0,0.000000,0.000000,0.00,0.00
-5,3,1.408451,-0.200000,-10.00,50.00
-4,4,1.877934,0.800000,40.00,50.00
-3,10,4.694836,-0.272727,-30.00,110.00
-2,9,4.225352,-0.166667,-20.00,120.00
-1,21,9.859155,-0.304348,-70.00,230.00
0,42,19.718310,-0.083333,-40.00,480.00
1,32,15.023474,0.100000,35.00,350.00
2,27,12.676056,0.266667,80.00,300.00
3,16,7.511737,-0.361111,-65.00,180.00
4,10,4.694836,-0.076923,-10.00,130.00
5,10,4.694836,-0.300000,-30.00,100.00
6,6,2.816901,-0.250000,-15.00,60.00
7,9,4.225352,-0.055556,-5.00,90.00
8,4,1.877934,-0.500000,-20.00,40.00
9,7,3.286385,0.500000,35.00,70.00
10,3,1.408451,-0.333333,-10.00,30.00
